codice_provincia,sigla_provincia,nome_provincia,grado,materia,anno,livello_1,livello_2,livello_3,livello_4,livello_5,perc_copertura_stu_x,punteggio_medio_wle,deviazione_standard_wle,perc_copertura_stu_y,minore_95,95_110,maggiore_110
3,NO,NOVARA,8,Inglese R,2021-22,3.09720944495553,16.5286721864459,80.3741183685986,0.0,0.0,93.8687392055268,207.7,38.1682105762648,93.8687392055268,19.6,80.4,0.0
3,NO,NOVARA,13,Inglese R,2021-22,6.16923718215923,32.3051271363068,61.525635681534,0.0,0.0,95.7302474062251,209.7,38.5629641772786,95.7302474062251,38.5,61.5,0.0
3,NO,NOVARA,8,Inglese L,2021-22,2.30061349693252,30.398773006135,67.3006134969325,0.0,0.0,93.8399539435809,209.1,37.188827919943,93.8399539435809,32.7,67.3,0.0
3,NO,NOVARA,13,Inglese L,2021-22,11.4166666666667,38.9583333333333,49.625,0.0,0.0,95.7701516360734,215.5,38.1153907267465,95.7701516360734,50.4,49.6,0.0
4,CN,CUNEO,8,Italiano,2017-18,8.20445115050924,19.068276122218,31.308940022633,25.1225952470766,16.2957374575632,97.0884453396814,207.9,38.292340387063,97.0884453396814,27.3,31.3,41.4
4,CN,CUNEO,10,Italiano,2017-18,6.81571521597569,19.4269589754721,32.0164966355546,29.0210549164315,12.6980681571522,94.4831829368335,207.9,36.4201077490976,94.4831829368335,26.2,32.0,41.7
4,CN,CUNEO,8,Matematica,2017-18,10.0529100529101,18.2728647014361,26.1337868480726,23.015873015873,22.5245653817082,96.9053286943783,210.5,38.4644935438692,96.9053286943783,28.3,26.1,45.5
4,CN,CUNEO,10,Matematica,2017-18,9.65141612200436,19.041394335512,22.4183006535948,22.2875816993464,26.4923747276688,94.1345365053322,212.5,39.5949315067755,94.1345365053322,28.7,22.4,48.8
4,CN,CUNEO,8,Inglese R,2017-18,2.09909228441755,15.0340393343419,82.8668683812406,0.0,0.0,96.8320820362571,208.1,35.8859224814436,96.8320820362571,17.1,82.9,0.0
4,CN,CUNEO,8,Inglese L,2017-18,2.14015151515152,33.3712121212121,64.2613636363636,0.0,0.0,96.6855887200146,205.8,36.2146592179783,96.6855887200146,35.5,64.3,0.0
4,CN,CUNEO,8,Italiano,2018-19,9.41552339785755,20.0338282277767,31.5542191317422,25.3899642924262,13.5876714903214,97.4542124542125,204.1,36.3498191002333,97.5256598240469,29.4,31.6,39.0
4,CN,CUNEO,10,Italiano,2018-19,5.40305010893246,17.8649237472767,29.6078431372549,30.2832244008715,16.797385620915,95.8446439757778,211.6,36.5011539322007,95.8446439757778,23.3,29.6,47.1
4,CN,CUNEO,13,Italiano,2018-19,6.66816850642036,17.481414733048,30.3897274160847,28.362243748592,17.0759179995494,98.1428255582578,210.1,37.8544160310562,98.1428255582578,24.1,30.4,45.4
4,CN,CUNEO,8,Matematica,2018-19,10.396691107351,19.1013348373754,25.7567211881933,22.0530174844896,22.673434856176,97.4175824175824,209.0,37.8846687639695,97.4890029325513,29.5,25.8,44.7
4,CN,CUNEO,10,Matematica,2018-19,6.51172988379741,16.2245121683841,24.1832931374699,24.0298180223635,29.0287217715413,95.2390895802882,217.4,37.3988947083532,95.2390895802882,22.7,24.2,53.1
